File1,File2,Folder,Device,freq_MHz,relStr_dB,strDiff_dB,relDist_Hz,width_Hz,phase_rad,autoCorrelation_lag-2,alpha,alpha_mean,flux,freq_MHz_2,relStr_dB_2,strDiff_dB_2,relDist_Hz_2,width_Hz_2,phase_rad_2,autoCorrelation_lag-2_2,alpha_2,alpha_mean_2,flux_2
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013533.4,34.99928225,0,0,91.5555284,NaN,-0.5680482966,118,113,5.91E-09,304014265.9,37.83380695,92.50795803,-16000732.44,91.5555284,NaN,-0.5507489924,60,127,9.69E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013533.4,34.8598927,0,0,106.8147832,NaN,-0.5677370527,30,91,6.15E-09,304014265.9,37.960481,91.83206267,-16000732.44,91.55552846,NaN,-0.5506842766,140,27,9.47E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,35.50010572,0,0,106.8147832,NaN,-0.5679912036,105,105,5.98E-09,304014265.9,37.62206316,94.35980576,-16000747.7,76.29627371,NaN,-0.5508456732,30,20,9.80E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,36.83278878,0,0,91.55552846,NaN,-0.5681132065,100,100,5.79E-09,304014265.9,37.13813519,99.17780899,-16000747.7,76.29627371,NaN,-0.5508194477,73,106,9.80E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,37.53718882,0,0,61.03701895,NaN,-0.5681551168,95,95,6.01E-09,304014265.9,35.98750106,104.3061833,-16000747.7,152.5925474,NaN,-0.5507134117,18,18,9.76E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,37.00955224,0,0,61.03701895,NaN,-0.5681526988,93,93,5.94E-09,304014250.6,36.14460231,102.3930266,-16000732.44,106.8147832,NaN,-0.5508695873,29,31,9.23E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,36.14092435,0,0,61.03701895,NaN,-0.5680405129,82,82,6.08E-09,304014250.6,38.40069304,94.11529192,-16000732.44,76.29627371,NaN,-0.551079665,6,6,1.13E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013518.2,35.20942568,0,0,106.8147832,NaN,-0.5681866417,12,12,5.90E-09,304014250.6,38.70265457,90.97418787,-16000732.44,76.29627371,NaN,-0.5510144174,2,2,1.07E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013502.9,35.99643759,0,0,61.03701895,NaN,-0.5678045505,13,92,4.27E-09,304014250.6,40.69367048,88.45709211,-16000747.7,61.03701895,NaN,-0.5511564923,26,26,1.10E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/p1,Arduino 1,288013502.9,36.25360076,0,0,106.8147832,NaN,-0.5677418271,13,13,4.44E-09,304014250.6,40.78245303,88.89509598,-16000747.7,76.29627371,NaN,-0.5512258154,75,75,1.16E-08
