File1,File2,Folder,Device,freq_MHz,relStr_dB,strDiff_dB,relDist_Hz,width_Hz,phase_rad,autoCorrelation_lag-2,alpha,alpha_mean,flux,freq_MHz_2,relStr_dB_2,strDiff_dB_2,relDist_Hz_2,width_Hz_2,phase_rad_2,autoCorrelation_lag-2_2,alpha_2,alpha_mean_2,flux_2
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,28.72083257,0,0,106.8147832,NaN,-0.5701989546,84,84,4.63E-09,304014098,40.47237848,70.96403436,-16000747.7,61.03701895,NaN,-0.5544814474,5,5,9.08E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,30.77998851,0,0,61.03701895,NaN,-0.5702104486,84,84,4.71E-09,304014098,39.72701224,77.47873996,-16000747.7,106.8147832,NaN,-0.5544358047,58,58,8.97E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,24.96574977,0,0,76.29627371,NaN,-0.570226668,15,15,3.57E-09,304014098,40.05624323,62.326738,-16000747.7,91.5555284,NaN,-0.5544207171,95,95,8.25E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,21.64209897,0,0,76.29627365,NaN,-0.5700382343,84,16,3.23E-09,304014098,38.99487685,55.49985208,-16000747.7,61.03701895,NaN,-0.5543760145,17,17,7.63E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,20.95764626,0,0,76.29627365,NaN,-0.5700691874,85,85,3.12E-09,304014098,39.2595668,53.3822657,-16000747.7,76.29627365,NaN,-0.5544135895,53,53,8.56E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,22.57665772,0,0,106.8147832,NaN,-0.5699774052,84,84,3.20E-09,304014098,39.65155272,56.93763843,-16000747.7,76.29627365,NaN,-0.554473135,116,116,8.18E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,30.5001232,0,0,61.03701895,NaN,-0.5702013029,85,85,4.85E-09,304014098,39.79170976,76.64944127,-16000747.7,76.29627365,NaN,-0.5544478619,15,15,7.79E-09
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,30.3083749,0,0,76.29627365,NaN,-0.5702647922,85,85,4.66E-09,304014098,39.36401226,76.99513632,-16000747.7,61.03701895,NaN,-0.5544186436,29,32,7.92E-09
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,30.14423842,0,0,183.1110569,NaN,-0.5711587209,85,85,4.84E-09,304014098,39.71174193,75.90762065,-16000747.7,76.29627365,NaN,-0.5544520935,24,24,8.71E-09
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Morning,Arduino 1,288013350.3,29.88929753,0,0,122.0740379,NaN,-0.5709682615,84,84,4.94E-09,304014098,39.84620268,75.01165861,-16000747.7,61.03701895,NaN,-0.5544286815,28,28,8.87E-09
