File1,File2,Folder,Device,freq_MHz,relStr_dB,strDiff_dB,relDist_Hz,width_Hz,phase_rad,autoCorrelation_lag-2,alpha,alpha_mean,flux,freq_MHz_2,relStr_dB_2,strDiff_dB_2,relDist_Hz_2,width_Hz_2,phase_rad_2,autoCorrelation_lag-2_2,alpha_2,alpha_mean_2,flux_2
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,35.44965785,0,0,61.03701895,NaN,-0.5667311442,18,18,4.95E-09,304014265.9,48.41416444,73.22166615,-16000732.44,122.0740379,NaN,-0.5508761334,92,92,1.96E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,35.23462934,0,0,61.03701895,NaN,-0.5666155477,18,18,3.93E-09,304014265.9,48.63754425,72.44327378,-16000732.44,106.8147832,NaN,-0.5508818973,43,43,1.87E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,35.34107509,0,0,122.0740379,NaN,-0.5667309406,18,18,3.81E-09,304014265.9,49.25576457,71.75012996,-16000732.44,137.3332927,NaN,-0.5508997618,88,88,1.91E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,34.14453142,0,0,61.03701895,NaN,-0.5665983476,18,18,3.85E-09,304014265.9,49.34452565,69.1961894,-16000732.44,183.1110569,NaN,-0.5509153355,12,12,1.89E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,33.09315679,0,0,106.8147832,NaN,-0.5667045639,18,18,3.73E-09,304014265.9,49.44139439,66.93410895,-16000732.44,122.0740379,NaN,-0.5509439251,44,44,1.91E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.51162945,0,0,76.29627371,NaN,-0.566818171,18,18,3.67E-09,304014265.9,49.73589753,65.36853875,-16000747.7,122.0740379,NaN,-0.5509697366,6,6,1.88E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,33.3101903,0,0,91.5555284,NaN,-0.5668569266,80,80,3.70E-09,304014265.9,49.69961258,67.02303815,-16000747.7,91.5555284,NaN,-0.5509913709,86,86,1.87E-08
arduino1_antenna_powersave_0_288-1MHz.iq,arduino1_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,35.0865153,0,0,61.03701895,NaN,-0.5669728883,80,80,4.03E-09,304014265.9,49.54534545,70.81697581,-16000747.7,122.0740379,NaN,-0.5510117328,43,43,1.94E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,33.67985598,0,0,76.29627365,NaN,-0.5671059453,18,18,4.25E-09,304014250.6,47.52827401,70.86277943,-16000732.44,122.0740379,NaN,-0.5511701205,1,1,1.85E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,33.34139009,0,0,183.1110569,NaN,-0.5670831233,17,17,4.42E-09,304014250.6,47.81855991,69.72478918,-16000732.44,91.5555284,NaN,-0.5511779732,28,28,1.88E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,32.49591496,0,0,106.8147832,NaN,-0.5671459688,80,80,4.30E-09,304014250.6,47.85412263,67.90619737,-16000747.7,152.5925474,NaN,-0.5511770674,1,1,1.86E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,33.84266162,0,0,76.29627365,NaN,-0.5672746338,18,18,4.18E-09,304014250.6,48.10176788,70.35637797,-16000747.7,106.8147832,NaN,-0.5511869249,20,20,1.83E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,34.37952129,0,0,91.55552846,NaN,-0.5672445375,18,80,4.19E-09,304014250.6,48.19563357,71.33326973,-16000747.7,91.55552846,NaN,-0.5511982045,14,14,1.81E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,34.78097769,0,0,76.29627371,NaN,-0.567273937,19,19,4.24E-09,304014250.6,48.45715898,71.7767579,-16000747.7,76.29627371,NaN,-0.5512036648,89,89,2.03E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,35.18115788,0,0,61.03701895,NaN,-0.5671500516,95,95,4.19E-09,304014250.6,48.75417108,72.16030362,-16000747.7,106.8147832,NaN,-0.5512238112,127,127,1.93E-08
arduino1_antenna_powersave_1_288-1MHz.iq,arduino1_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,35.53479137,0,0,61.03701895,NaN,-0.5671791359,18,80,4.29E-09,304014250.6,48.85302056,72.73816636,-16000747.7,106.8147832,NaN,-0.5512298915,5,5,1.92E-08
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,32.77570791,0,0,76.29627371,NaN,-0.5670633598,17,17,3.42E-09,304014265.9,42.20992775,77.64928693,-16000732.44,122.0740379,NaN,-0.5509521516,72,72,6.19E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013533.4,30.02923303,0,0,76.29627371,NaN,-0.5671739786,81,81,2.79E-09,304014265.9,42.08652233,71.35118648,-16000732.44,91.5555284,NaN,-0.5509439444,73,73,5.62E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,31.3827882,0,0,91.55552846,NaN,-0.5673138208,17,17,2.70E-09,304014265.9,42.04477511,74.64135108,-16000747.7,61.03701895,NaN,-0.5509835923,85,85,5.52E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.36514733,0,0,122.0740378,NaN,-0.5672306177,80,80,2.64E-09,304014265.9,41.6964977,77.62078138,-16000747.7,61.03701895,NaN,-0.5510262007,10,10,5.69E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.58119527,0,0,61.03701895,NaN,-0.5673586135,17,17,3.01E-09,304014265.9,42.01961495,77.53806243,-16000747.7,106.8147832,NaN,-0.5510028663,31,31,6.64E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.61029274,0,0,91.55552846,NaN,-0.5672032617,18,18,2.73E-09,304014265.9,41.85021825,77.9214401,-16000747.7,91.5555284,NaN,-0.5510481007,3,3,6.60E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.77163843,0,0,76.29627371,NaN,-0.567109965,24,72,2.58E-09,304014265.9,41.21973988,79.50471916,-16000747.7,91.5555284,NaN,-0.5510491585,52,52,6.61E-09
arduino1_antenna_program_0_288-1MHz.iq,arduino1_antenna_program_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013518.2,32.27051038,0,0,76.29627371,NaN,-0.5672665153,96,96,2.68E-09,304014265.9,40.61958675,79.44568854,-16000747.7,91.5555284,NaN,-0.5510249116,8,8,6.78E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,31.84629613,0,0,61.03701895,NaN,-0.5674906435,80,80,3.06E-09,304014250.6,42.13673309,75.57846515,-16000747.7,91.55552846,NaN,-0.5512637522,148,148,6.23E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,32.08030223,0,0,61.03701895,NaN,-0.5673498206,18,18,3.16E-09,304014250.6,41.93092202,76.50750493,-16000747.7,76.29627371,NaN,-0.5512598768,78,78,7.12E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,32.55288187,0,0,106.8147832,NaN,-0.5673482171,80,80,3.28E-09,304014250.6,42.4796682,76.6316764,-16000747.7,76.29627371,NaN,-0.5512710323,44,44,6.05E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,32.79361227,0,0,61.03701895,NaN,-0.5674174915,17,17,2.99E-09,304014250.6,42.37124277,77.39591791,-16000747.7,61.03701895,NaN,-0.5512789307,53,53,5.71E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,33.33834289,0,0,76.29627371,NaN,-0.5676378724,17,17,3.25E-09,304014250.6,41.98241065,79.41026343,-16000747.7,91.5555284,NaN,-0.5512499295,116,116,5.87E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,33.621884,0,0,61.03701895,NaN,-0.567373161,17,17,2.96E-09,304014250.6,42.21652951,79.64151574,-16000747.7,61.03701895,NaN,-0.5512187345,60,60,5.71E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,33.92227955,0,0,61.03701895,NaN,-0.5673421366,28,81,3.28E-09,304014250.6,42.53299399,79.75521204,-16000747.7,61.03701895,NaN,-0.5512751721,36,36,6.31E-09
arduino1_antenna_program_1_288-1MHz.iq,arduino1_antenna_program_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 1,288013502.9,33.39159419,0,0,167.8518021,NaN,-0.5673513061,80,80,3.32E-09,304014250.6,42.51577057,78.53931316,-16000747.7,76.29627371,NaN,-0.551311496,146,146,6.21E-09
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017287.2,41.71649795,0,0,76.29627371,NaN,-0.4859251749,34,34,1.01E-08,304018187.5,44.32985013,94.10475747,-16000900.3,137.3332927,NaN,-0.4660770135,44,44,1.16E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017287.2,43.26248301,0,0,122.0740379,NaN,-0.4861191529,37,37,8.28E-09,304018187.5,46.8310202,92.37997128,-16000900.3,152.5925474,NaN,-0.466162926,76,76,1.21E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017272,43.3184975,0,0,76.29627371,NaN,-0.4862960833,38,38,8.25E-09,304018187.5,46.82221967,92.51696695,-16000915.56,137.3332927,NaN,-0.4662472414,49,150,1.21E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017272,42.74277375,0,0,76.29627371,NaN,-0.4864772146,39,39,7.15E-09,304018187.5,45.31746096,94.31855371,-16000915.56,137.3332927,NaN,-0.4663335441,54,54,1.18E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017256.7,43.51544115,0,0,91.55552846,NaN,-0.4866541025,41,41,7.90E-09,304018172.2,44.35432782,98.10867008,-16000915.56,122.0740379,NaN,-0.4664172045,47,47,1.25E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017256.7,43.65816192,0,0,91.5555284,NaN,-0.4867655727,42,42,7.54E-09,304018172.2,46.32530738,94.24257362,-16000915.56,106.8147832,NaN,-0.4664754565,9,9,1.13E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017241.4,41.71615145,0,0,106.8147832,NaN,-0.4869295088,43,43,7.74E-09,304018172.2,46.96263826,88.82838145,-16000930.81,106.8147832,NaN,-0.4665592005,23,23,1.22E-08
arduino2_antenna_powersave_0_288-1MHz.iq,arduino2_antenna_powersave_0_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017241.4,44.19961559,0,0,122.0740379,NaN,-0.4870334289,44,44,7.53E-09,304018172.2,46.30500595,95.4532122,-16000930.81,152.5925474,NaN,-0.4666250482,106,106,1.17E-08
arduino2_antenna_powersave_1_288-1MHz.iq,arduino2_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017210.9,43.46169341,0,0,106.8147832,NaN,-0.4877933694,51,51,7.76E-09,304018141.7,44.97983053,96.62484919,-16000930.81,137.3332927,NaN,-0.4670865193,105,105,1.15E-08
arduino2_antenna_powersave_1_288-1MHz.iq,arduino2_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017210.9,43.1741396,0,0,213.6295663,NaN,-0.4878181754,52,52,7.58E-09,304018141.7,45.53857512,94.80784035,-16000930.81,152.5925474,NaN,-0.4671195418,92,92,1.23E-08
arduino2_antenna_powersave_1_288-1MHz.iq,arduino2_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017210.9,41.63980927,0,0,106.8147832,NaN,-0.4878631959,52,52,7.55E-09,304018141.7,47.22219407,88.17847221,-16000930.81,122.0740379,NaN,-0.4671537334,117,117,1.21E-08
arduino2_antenna_powersave_1_288-1MHz.iq,arduino2_antenna_powersave_1_304-1MHz.iq,/home/jfeng/Desktop/Research/Fingerprinting/samplerScript/Round6/Noon,Arduino 2,288017195.7,41.46453837,0,0,122.0740379,NaN,-0.4879484558,53,53,7.27E-09,304018141.7,47.30924006,87.6457502,-16000946.07,91.55552846,NaN,-0.4671885823,51,51,1.04E-08
